Cidade Considerada;Regiao Administrativa;Ano Obito;Mes Obito;Mes Descricao;Sexo;Turno;Tipo Acidente;Tipo Veiculo;Faixa Etaria;Idade;Hora Acidente;Tipo Vitima;Tipo Local do Acidente;Dia Semana;Tipo de Via;LAT_(geo);LONG_(geo);Rua / Rodovia
SAO PAULO;Metropolitana de Sao Paulo;2017;10;OUTUBRO;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;65-69;66;;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;-23,466729;-46,583952;AVENIDA GUAPIRA
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;MASCULINO;MANHA;COLISAO;MOTOCICLETA;18-24;21;;CONDUTOR;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;MASCULINO;MADRUGADA;CHOQUE;MOTOCICLETA;25-29;25;;CONDUTOR;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;35-39;37;;PEDESTRE;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;MASCULINO;NAO DISPONIVEL;ATROPELAMENTO;PEDESTRE;50-54;51;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;FEMININO;MADRUGADA;COLISAO;MOTOCICLETA;18-24;23;;PASSAGEIRO;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;FEMININO;MADRUGADA;COLISAO;MOTOCICLETA;18-24;23;;CONDUTOR;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;9;SETEMBRO;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;NAO DISPONIVEL;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;MASCULINO;TARDE;CHOQUE;MOTOCICLETA;25-29;28;;PASSAGEIRO;PUBLICO;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;MASCULINO;NOITE;CHOQUE;AUTOMOVEL;45-49;46;;CONDUTOR;PUBLICO;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;MASCULINO;MANHA;COLISAO;AUTOMOVEL;65-69;69;;CONDUTOR;PUBLICO;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;55-59;58;;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;3;MARCO;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;55-59;56;;PEDESTRE;PUBLICO;SABADO;Vias Municipais;;;
